date,year,month,event_category,event_count,fatalities,geographic_level,country,source
2005-12-01,2005,12,civilian_targeting,3,2.0,national,Uganda,ACLED via HDX
2005-12-01,2005,12,demonstrations,0,,national,Uganda,ACLED via HDX
2005-12-01,2005,12,political_violence,32,61.0,national,Uganda,ACLED via HDX
2006-01-01,2006,1,civilian_targeting,3,10.0,national,Uganda,ACLED via HDX
2006-01-01,2006,1,demonstrations,0,,national,Uganda,ACLED via HDX
2006-01-01,2006,1,political_violence,16,86.0,national,Uganda,ACLED via HDX
2006-02-01,2006,2,civilian_targeting,4,10.0,national,Uganda,ACLED via HDX
2006-02-01,2006,2,demonstrations,4,,national,Uganda,ACLED via HDX
2006-02-01,2006,2,political_violence,15,52.0,national,Uganda,ACLED via HDX
2006-03-01,2006,3,civilian_targeting,7,50.0,national,Uganda,ACLED via HDX
2006-03-01,2006,3,demonstrations,1,,national,Uganda,ACLED via HDX
2006-03-01,2006,3,political_violence,20,94.0,national,Uganda,ACLED via HDX
2006-04-01,2006,4,civilian_targeting,4,15.0,national,Uganda,ACLED via HDX
2006-04-01,2006,4,demonstrations,0,,national,Uganda,ACLED via HDX
2006-04-01,2006,4,political_violence,18,57.0,national,Uganda,ACLED via HDX
2006-05-01,2006,5,civilian_targeting,38,47.0,national,Uganda,ACLED via HDX
2006-05-01,2006,5,demonstrations,0,,national,Uganda,ACLED via HDX
2006-05-01,2006,5,political_violence,56,113.0,national,Uganda,ACLED via HDX
2006-06-01,2006,6,civilian_targeting,40,51.0,national,Uganda,ACLED via HDX
2006-06-01,2006,6,demonstrations,0,,national,Uganda,ACLED via HDX
2006-06-01,2006,6,political_violence,59,102.0,national,Uganda,ACLED via HDX
2006-07-01,2006,7,civilian_targeting,37,45.0,national,Uganda,ACLED via HDX
2006-07-01,2006,7,demonstrations,0,,national,Uganda,ACLED via HDX
2006-07-01,2006,7,political_violence,43,84.0,national,Uganda,ACLED via HDX
2006-08-01,2006,8,civilian_targeting,2,0.0,national,Uganda,ACLED via HDX
2006-08-01,2006,8,demonstrations,1,,national,Uganda,ACLED via HDX
2006-08-01,2006,8,political_violence,17,21.0,national,Uganda,ACLED via HDX
2006-09-01,2006,9,civilian_targeting,4,3.0,national,Uganda,ACLED via HDX
2006-09-01,2006,9,demonstrations,1,,national,Uganda,ACLED via HDX
2006-09-01,2006,9,political_violence,7,9.0,national,Uganda,ACLED via HDX
2006-10-01,2006,10,civilian_targeting,1,0.0,national,Uganda,ACLED via HDX
